RelativePath                                                      AOM Annotation
\GUI\ContextMenu\ContextMenu.cs                                   [P] Popup Menu {D} ItemsPanel, ContextMenuItem (F) AddButton -> Show -> SortButtons [S] Volatile
\GUI\ContextMenu\ContextMenuBase.cs                               [P] Windowed Popup {D} Window, RootControl (F) Show -> Hide -> OnWindowLostFocus [S] Volatile
\GUI\ContextMenu\ContextMenuButton.cs                             [P] Command Item {D} ContextMenu (F) Click -> Draw (Zebra/Checked) [S] Volatile
\GUI\ContextMenu\ContextMenuChildMenu.cs                          [P] Recursive Menu {D} ContextMenu (F) OnMouseEnter -> ShowChild [S] Volatile
\GUI\ContextMenu\ContextMenuItem.cs                               [P] Base Item {D} ContextMenu (F) OnMouseEnter [S] N/A
\GUI\ContextMenu\ContextMenuSeparator.cs                          [P] Visual Divider [S] Static
\GUI\ContextMenu\ContextMenuSingleSelectGroup.cs                  [P] Option Group {D} ContextMenuButton (F) SetSelected [S] Volatile
\GUI\ItemsListContextMenu.cs                                      [P] Searchable Menu {D} SearchBox, Panel (F) OnSearchFilterChanged -> SortItems [S] Volatile
\GUI\Docking\MasterDockPanel.cs                                   [P] Docking Root {D} DockPanel, FloatWindowDockPanel (F) ResetLayout -> HitTest [S] Persistent Registry
\GUI\Docking\DockPanel.cs                                         [P] MDI Layout {D} SplitPanel, DockWindow (F) DockWindow -> SelectTab -> HitTest [S] Persistent (Serializable Layout)
\GUI\Docking\DockWindow.cs                                        [P] Dockable Page {D} MasterDockPanel (F) Show -> Undock -> Close [S] Persistent UI State
\GUI\Docking\DockPanelProxy.cs                                    [P] View Adapter {D} DockPanel, DockWindow (F) Draw (Tabs) -> GetTabAtPos [S] Volatile
\GUI\Docking\FloatWindowDockPanel.cs                              [P] Floating Host {D} WindowRootControl (F) BeginDrag -> OnClosing [S] Volatile
\GUI\Docking\WindowDragHelper.cs                                  [P] Interaction Mediator {D} FloatWindowDockPanel (F) StartDragging -> UpdateRects -> Dispose [S] Volatile Drag State
\GUI\Drag\DragHandlers.cs                                         [P] Composite Handler {D} DragHelper (F) OnDragEnter -> OnDragDrop [S] Volatile
\GUI\Drag\DragHelper.cs                                           [P] Strategy Base {D} DragData (F) OnDragEnter -> FromDragData [S] Volatile
\GUI\Drag\DragAssets.cs                                           [P] Typed Handler {D} AssetItem [S] Volatile
\GUI\Drag\DragItems.cs                                            [P] Asset Handler {D} ContentItem [S] Volatile
\GUI\Drag\DragActors.cs                                           [P] Typed Handler {D} ActorNode [S] Volatile
\GUI\Drag\DragScripts.cs                                          [P] Instance Handler {D} Script [S] Volatile
\GUI\Drag\DragScriptItems.cs                                      [P] Script Handler {D} ScriptItem [S] Volatile
\GUI\Drag\DragActorType.cs                                        [P] Typed Handler {D} ScriptType [S] Volatile
\GUI\Drag\DragControlType.cs                                      [P] Typed Handler {D} ScriptType [S] Volatile
\GUI\Drag\DragNames.cs                                            [P] Name Handler [S] Volatile
\GUI\Drag\DragEventArgs.cs                                        [P] Data Container [S] N/A
\GUI\Dialogs\Dialog.cs                                            [P] Modal Window {D} Window (F) ShowDialog -> Close [S] Volatile
\GUI\Dialogs\ColorPickerDialog.cs                                 [P] Modal Dialog {D} ColorSelector, Tabs (F) SelectedColor -> OnSubmit [S] Volatile
\GUI\Dialogs\ColorSelector.cs                                     [P] Visual Picker {D} MaterialBase (F) UpdateMouse (HSV) [S] Volatile
\GUI\Input\ValueBox.cs                                            [P] Numeric Logic Base {D} ShuntingYard (F) ApplySliding -> UpdateText [S] Volatile
\GUI\Input\FloatValueBox.cs                                       [P] Numeric Editor [S] Volatile
\GUI\Input\DoubleValueBox.cs                                      [P] Numeric Editor [S] Volatile
\GUI\Input\IntValueBox.cs                                         [P] Numeric Editor [S] Volatile
\GUI\Input\LongValueBox.cs                                        [P] Numeric Editor [S] Volatile
\GUI\Input\UIntValueBox.cs                                        [P] Numeric Editor [S] Volatile
\GUI\Input\ULongValueBox.cs                                       [P] Numeric Editor [S] Volatile
\GUI\Input\ColorValueBox.cs                                       [P] Visual Trigger {D} ColorPickerDialog (F) OnSubmit -> OnColorChanged [S] Volatile
\GUI\Input\SliderControl.cs                                       [P] Compound Editor {D} Slider, TextBox [S] Volatile
\GUI\Input\SearchBox.cs                                           [P] Input View {D} Button (F) Clear [S] Volatile
\GUI\Popups\RenamePopup.cs                                        [P] Inline Editor {D} TextBox (F) Validate -> Renamed [S] Volatile
\GUI\Popups\AssetSearchPopup.cs                                   [P] Picker {D} ContentItemView [S] Volatile
\GUI\Popups\ActorSearchPopup.cs                                   [P] Picker {D} ActorItemView (F) Find [S] Volatile
\GUI\Popups\ScriptSearchPopup.cs                                  [P] Picker {D} ScriptItemView [S] Volatile
\GUI\Popups\TypeSearchPopup.cs                                    [P] Type Picker {D} ScriptType [S] Volatile
\GUI\AssetPicker.cs                                               [P] Mediator/Picker {D} Validator, ContentItem (F) DoDrag -> Draw -> OnSubmit [S] Volatile
\GUI\ComboBox.cs                                                  [P] Items Picker (Native Window) {D} ContextMenu (F) OnItemClicked -> ShowPopup [S] Volatile
\GUI\EnumComboBox.cs                                              [P] Enum Resolver {D} ComboBox, Reflection (F) BuildEntriesDefault -> Value [S] Volatile
\GUI\ClickableLabel.cs                                            [P] Event Decorator {D} Label (F) OnMouseUp (Left/Right) [S] Volatile
\GUI\PlatformSelector.cs                                          [P] Options Picker {D} TilesPanel, Image (F) Selected [S] Volatile
\GUI\PrefabDiffContextMenu.cs                                     [P] Decision Dialog {D} Tree (F) RevertAll -> ApplyAll [S] Volatile
\IEditable.cs                                                     [P] Interface (State Pattern) {D} None (F) Event Action OnEdited [S] State Management Hook
\CustomEditors                                                    [P] Model-View-Presenter (MVP) {D} CustomEditorPresenter, LayoutElementsContainer (F) Init -> BuildUI -> Refresh -> SetValue [S] Volatile UI
\CustomEditors\CustomEditorPresenter.cs                           [P] Facade/Root Controller {D} RootEditor, Undo (F) Select -> BuildLayout -> Update [S] Volatile UI State
\CustomEditors\CustomEditor.cs                                    [P] Abstract Base {D} LayoutElementsContainer, ValueContainer (F) Initialize -> Refresh -> SetValue [S] Managed
\CustomEditors\CustomEditorsUtil.cs                               [P] Static Factory {D} GenericEditor, AssetRefEditor (F) CreateEditor (Type Matching) [S] Static
\CustomEditors\LayoutElementsContainer.cs                         [P] Composite UI Builder {D} GroupElement, PropertiesListElement (F) Group -> Property -> AddElement [S] Volatile
\CustomEditors\LayoutElement.cs                                   [P] UI Primitive Base {D} Control [S] Volatile
\CustomEditors\SyncPointEditor.cs                                 [P] Observer/Decorator {D} Undo (F) OnDirty -> RecordMultiBegin -> RecordMultiEnd [S] Volatile
\CustomEditors\Values\ValueContainer.cs                           [P] Data Proxy {D} ScriptMemberInfo (F) Refresh -> Set -> ValueEquals [S] Managed Value State
\CustomEditors\Values\CustomValueContainer.cs                     [P] Adapter {D} ValueContainer (F) Refresh/Set (Delegate-based) [S] Volatile
\CustomEditors\Values\ListValueContainer.cs                       [P] Adapter {D} IList (F) Refresh/Set (Index-based access) [S] Volatile
\CustomEditors\Values\DictionaryValueContainer.cs                 [P] Adapter {D} IDictionary (F) Refresh/Set (Key-based access) [S] Volatile
\CustomEditors\Values\ReadOnlyValueContainer.cs                   [P] Restricted Adapter [S] Immutable
\CustomEditors\GUI\PropertiesList.cs                              [P] Layout Container {D} PropertiesListElement (F) UpdateSplitRect -> AutoSizeSplitter [S] Volatile UI
\CustomEditors\GUI\PropertyNameLabel.cs                           [P] View {D} CustomEditor (F) LinkEditor -> UpdateHighlights -> OnMouseUp (Revert/Copy/Paste menu) [S] Volatile
\CustomEditors\GUI\CheckablePropertyNameLabel.cs                  [P] Decorator {D} CheckBox, PropertiesList (F) UpdateStyle (Enable/Disable Children) [S] Volatile
\CustomEditors\GUI\ClickablePropertyNameLabel.cs                  [P] Event Proxy {D} PropertyNameLabel (F) OnMouseUp -> MouseLeftClick [S] Volatile
\CustomEditors\GUI\DraggablePropertyNameLabel.cs                  [P] Drag Provider {D} ClickablePropertyNameLabel (F) OnMouseLeave -> DoDragDrop [S] Volatile
\CustomEditors\Editors\GenericEditor.cs                           [P] Reflection Inspector {D} ItemInfo, VisibleIfCache (F) GetItemsForType -> OnGroup -> SpawnProperty [S] Volatile
\CustomEditors\Editors\ActorTransformEditor.cs                    [P] Transform Aggregate {D} Vector3Editor, QuaternionEditor (F) LinkValues (Uniform Scale) [S] Volatile UI
\CustomEditors\Editors\AssetRefEditor.cs                          [P] Reference Picker {D} AssetPicker, AssetPickerValidator (F) OnSelectedItemChanged [S] Volatile
\CustomEditors\Editors\FlaxObjectRefEditor.cs                     [P] Scene Reference Picker {D} FlaxObjectRefPickerControl, ActorTreeNode (F) DoDrag -> OnMouseDoubleClick [S] Volatile
\CustomEditors\Editors\CollectionEditor.cs                        [P] Hierarchical Editor {D} ListValueContainer, CollectionItemLabel (F) Move -> Shift -> Duplicate [S] Volatile
\CustomEditors\Editors\ArrayEditor.cs                             [P] Collection Editor {D} TypeUtils (F) Resize -> Allocate [S] Volatile
\CustomEditors\Editors\ListEditor.cs                              [P] Collection Editor {D} IList [S] Volatile
\CustomEditors\Editors\DictionaryEditor.cs                        [P] Key-Value Editor {D} IDictionary, DictionaryValueContainer (F) ChangeKey -> Remove [S] Volatile
\CustomEditors\Editors\EnumEditor.cs                              [P] Options Picker {D} EnumComboBox [S] Volatile
\CustomEditors\Editors\BooleanEditor.cs                           [P] Primitive Editor {D} CheckBox [S] Volatile
\CustomEditors\Editors\IntegerEditor.cs                           [P] Numeric Editor {D} IntValueBox, LongValueBox [S] Volatile
\CustomEditors\Editors\FloatEditor.cs                             [P] Numeric Editor {D} FloatValueElement, SliderControl [S] Volatile
\CustomEditors\Editors\DoubleEditor.cs                            [P] Numeric Editor {D} DoubleValueBox [S] Volatile
\CustomEditors\Editors\StringEditor.cs                            [P] Text Editor {D} TextBoxElement (F) Initialize (Watermark/Multiline) [S] Volatile
\CustomEditors\Editors\ColorEditor.cs                             [P] Visual Picker {D} ColorValueBox [S] Volatile
\CustomEditors\Editors\Vector2Editor.cs                           [P] Numeric Vector {D} Float2, Double2, Int2 [S] Volatile
\CustomEditors\Editors\Vector3Editor.cs                           [P] Numeric Vector {D} Float3, Double3, Int3 [S] Volatile
\CustomEditors\Editors\Vector4Editor.cs                           [P] Numeric Vector {D} Float4, Double4, Int4 [S] Volatile
\CustomEditors\Editors\QuaternionEditor.cs                        [P] Visual Rotation {D} EulerAngles (F) OnValueChanged (UnwindDegrees) [S] Volatile
\CustomEditors\Editors\MatrixEditor.cs                            [P] Visual Matrix {D} Matrix [S] Volatile
\CustomEditors\Editors\GuidEditor.cs                              [P] ID Editor {D} AssetPicker (F) OnEditEnd (Parse Guid) [S] Volatile
\CustomEditors\Editors\TypeEditor.cs                              [P] Registry Picker {D} TypePickerControl, TypeSearchPopup (F) OnDragDrop [S] Volatile
\CustomEditors\Editors\TagEditor.cs                               [P] Tree Picker {D} Tags, LayersAndTagsSettings (F) OnAddTagButtonClicked -> Save Asset [S] Persistent
\CustomEditors\Editors\ActorLayerEditor.cs                        [P] Named Picker {D} LayersAndTagsSettings, ComboBox (F) UpdateLayerItems [S] Volatile UI
\CustomEditors\Editors\ActorStaticFlagsEditor.cs                  [P] Flags Editor {D} StaticFlags (F) OnValueChanged (Recursive Apply) [S] Volatile UI
\CustomEditors\Editors\ObjectSwitcherEditor.cs                    [P] Polymorphic Picker {D} OptionType (F) OnSelectedIndexChanged (Instantiate type) [S] Volatile
\CustomEditors\Editors\LocalizedStringEditor.cs                   [P] Localization Bridge {D} LocalizationSettings (F) OnAddStringClicked (Key gen/Save) [S] Volatile
\CustomEditors\Editors\ColorTrackball.cs                          [P] Grading Tool {D} ColorSelector, FloatValueElement (F) OnColorWheelChanged [S] Volatile
\CustomEditors\Editors\SpriteHandleEditor.cs                      [P] Atlas Picker {D} SpriteAtlas (F) OnSelectedIndexChanged [S] Volatile
\CustomEditors\Editors\MarginEditor.cs                            [P] Structural Editor {D} Margin [S] Volatile
\CustomEditors\Editors\InputEditor.cs                             [P] Settings Picker {D} Input (F) Initialize (Mapping fetch) [S] Volatile
\CustomEditors\Editors\KeyboardKeysEditor.cs                      [P] Input Listener {D} KeyboardKeys (F) OnKeyUp [S] Volatile
\CustomEditors\Editors\MouseButtonEditor.cs                       [P] Input Listener {D} MouseButton (F) OnMouseUp [S] Volatile
\CustomEditors\Editors\GamepadButtonEditor.cs                     [P] Input Listener {D} Input.Gamepads (F) OnUpdate (Polling) [S] Volatile
\CustomEditors\Editors\BindableButtonEditor.cs                    [P] Input Listener {D} Button (F) OnButtonClicked -> SetupButton (Listen state) [S] Volatile UI
\CustomEditors\Editors\ControlReferenceEditor.cs                  [P] UI Picker {D} UIControlRefPickerControl, IControlReference [S] Volatile
\CustomEditors\Editors\BehaviorKnowledgeSelectorEditor.cs         [P] Context Picker {D} BehaviorKnowledgeSelectorAny (F) ShowPicker (Blackboard/Goal Tree) [S] Volatile
\CustomEditors\Editors\SkeletonNodeEditor.cs                      [P] Hierarchy Picker {D} AnimatedModel (F) Initialize (Nodes fetch) [S] Volatile
\CustomEditors\Editors\TerrainLayerEditor.cs                      [P] Terrain Bridge {D} LayersAndTagsSettings [S] Volatile
\CustomEditors\Editors\ModelInstanceEntryEditor.cs                [P] Slot Editor {D} ModelInstanceActor, AssetRefEditor (F) OnSelectedMaterialChanged [S] Volatile
\CustomEditors\Editors\CultureInfoEditor.cs                       [P] Locale Picker {D} CultureInfo (F) CreatePicker (Tree construction) [S] Volatile
\CustomEditors\Editors\IBrushEditor.cs                            [P] Type Switcher {D} IBrush [S] Volatile
\CustomEditors\Editors\StyleEditor.cs                             [P] Visual Editor {D} Style, StyleEditorWindow [S] Volatile
\CustomEditors\Editors\VersionEditor.cs                           [P] Data Editor {D} Version [S] Volatile
\CustomEditors\Editors\DummyEditor.cs                             [P] Fallback Editor [S] Volatile
\CustomEditors\Dedicated\ActorEditor.cs                           [P] Specialized Decorator {D} Actor, Prefab, ScriptsEditor (F) Initialize (Prefab Link) -> ViewChanges [S] Volatile
\CustomEditors\Dedicated\ScriptsEditor.cs                         [P] Collection Manager {D} Script, AddRemoveScript, DragAreaControl (F) AddScripts -> Reorder [S] Volatile
\CustomEditors\Dedicated\AnimatedModelEditor.cs                   [P] Component Editor {D} AnimatedModel, SurfaceUtils (F) Initialize (Runtime Params) [S] Volatile
\CustomEditors\Dedicated\ParticleEffectEditor.cs                  [P] Component Editor {D} ParticleEffect, SurfaceUtils (F) DisplayGraphParameters [S] Volatile
\CustomEditors\Dedicated\AudioSourceEditor.cs                     [P] Component Editor {D} AudioSource (F) Initialize (Playback Controls) -> Refresh [S] Volatile
\CustomEditors\Dedicated\RigidBodyEditor.cs                       [P] Component Editor {D} RigidBody (F) Initialize (Info Box) [S] Volatile
\CustomEditors\Dedicated\UIControlEditor.cs                       [P] UI Layout Editor {D} UIControl, AnchorPresetsEditorPopup (F) SetType -> SetStyle [S] Volatile
\CustomEditors\Dedicated\TerrainEditor.cs                         [P] Component Editor {D} Terrain (F) Initialize (Info Box) [S] Volatile
\CustomEditors\Dedicated\ClothEditor.cs                           [P] Tool Bridge {D} Cloth, ClothPaintingGizmoMode (F) Initialize (Gizmo Link) [S] Volatile
\CustomEditors\Dedicated\SplineEditor.cs                          [P] Visual Path Editor {D} Spline, EditSplineAction (F) OnSetMode (Tangent Modes) [S] Volatile
\CustomEditors\Dedicated\RagdollEditor.cs                         [P] Visual Builder {D} Ragdoll, AnimatedModelNode (F) Rebuild -> OnRebuildBone [S] Volatile
\CustomEditors\Dedicated\NavMeshBoundsVolumeEditor.cs             [P] Utility Editor {D} NavMeshBoundsVolume (F) OnBuildClicked [S] Volatile
\CustomEditors\Dedicated\EnvironmentProbeEditor.cs                [P] Component Editor {D} EnvironmentProbe (F) BakeButtonClicked [S] Volatile
\CustomEditors\Dedicated\SkyLightEditor.cs                        [P] Component Editor {D} SkyLight (F) BakeButtonClicked [S] Volatile
\CustomEditors\Dedicated\SceneAnimationPlayerEditor.cs            [P] Component Editor {D} SceneAnimationPlayer (F) Play/Pause/Stop [S] Volatile
\CustomEditors\Dedicated\PostProcessSettingsEditor.cs             [P] Aggregate Editor {D} PostProcessSettings (F) CheckBoxOnCheckChanged (OverrideFlags) [S] Volatile
\CustomEditors\Dedicated\LocalizationSettingsEditor.cs            [P] Service Dashboard {D} LocalizationSettings, LocalizedStringTable (F) Initialize (Stats/Export) [S] Volatile
\CustomEditors\Dedicated\MeshReferenceEditor.cs                   [P] Reference Picker {D} ModelInstanceActor, MeshRefPickerControl (F) ShowDropDownMenu [S] Volatile
\CustomEditors\Dedicated\FontReferenceEditor.cs                   [P] Data Editor {D} FontReference [S] Volatile
\CustomEditors\Dedicated\GPUTextureEditor.cs                      [P] Visual Viewer {D} GPUTextureBrush (F) OnImageClicked (Capture/Resize) [S] Volatile
\CustomEditors\Dedicated\LayersMaskEditor.cs                      [P] Data Editor {D} LayersAndTagsSettings (F) Initialize (Checkboxes) [S] Volatile
\CustomEditors\Dedicated\LayersMatrixEditor.cs                    [P] Visual Matrix {D} PhysicsSettings (F) Initialize (Grid/Highlight) [S] Volatile
\CustomEditors\Dedicated\PhysicalMaterialEditor.cs                [P] Data Editor {D} PhysicalMaterial [S] Volatile
\CustomEditors\Dedicated\TextureGroupEditor.cs                    [P] Settings Picker {D} StreamingSettings [S] Volatile
\CustomEditors\Dedicated\CurveObjectEditor.cs                     [P] Data Editor {D} BezierCurveEditor (F) Initialize (Splitter/Height Cache) [S] Volatile
\CustomEditors\Dedicated\NavAgentMaskEditor.cs                    [P] Data Editor {D} NavigationSettings [S] Volatile
\CustomEditors\Dedicated\ModelPrefabEditor.cs                     [P] Reimport Utility {D} ModelPrefab, ModelTool (F) OnReimport [S] Volatile
\CustomEditors\Dedicated\ScriptingObjectEditor.cs                 [P] Debug Viewer {D} NetworkReplicator (F) Initialize (Network Role/Owner) [S] Volatile
\CustomEditors\Dedicated\MissingScriptEditor.cs                   [P] Error Handler {D} MissingScript, AddRemoveScript (F) ReplaceScript (Multi-Cast) [S] Volatile
\CustomEditors\Elements\Container\PropertiesListElement.cs        [P] Wrapper {D} PropertiesList (F) Property -> Object -> LinkLabel [S] Volatile UI
\CustomEditors\Elements\Container\GroupElement.cs                 [P] Wrapper {D} DropPanel (F) AddSettingsButton [S] Volatile UI
\CustomEditors\Elements\Container\HorizontalPanelElement.cs       [P] Wrapper {D} HorizontalPanel [S] Volatile UI
\CustomEditors\Elements\Container\VerticalPanelElement.cs         [P] Wrapper {D} VerticalPanel [S] Volatile UI
\CustomEditors\Elements\Container\TreeElement.cs                  [P] Wrapper {D} Tree [S] Volatile UI
\CustomEditors\Elements\Container\TreeNodeElement.cs              [P] Wrapper {D} TreeNode [S] Volatile UI
\CustomEditors\Elements\Container\CustomElement.cs                [P] Wrapper {D} Control, ContainerControl [S] Volatile
\CustomEditors\Elements\Container\SpaceElement.cs                 [P] Wrapper {D} Spacer [S] Volatile UI
\CustomEditors\Elements\LabelElement.cs                           [P] Wrapper {D} ClickableLabel [S] Volatile
\CustomEditors\Elements\ButtonElement.cs                          [P] Wrapper {D} Button [S] Volatile
\CustomEditors\Elements\CheckBoxElement.cs                        [P] Wrapper {D} CheckBox [S] Volatile
\CustomEditors\Elements\TextBoxElement.cs                         [P] Wrapper {D} TextBox [S] Volatile
\CustomEditors\Elements\ComboBoxElement.cs                        [P] Wrapper {D} ComboBox [S] Volatile
\CustomEditors\Elements\EnumElement.cs                            [P] Wrapper {D} EnumComboBox [S] Volatile
\CustomEditors\Elements\IntegerValueElement.cs                    [P] Wrapper {D} IntValueBox, LongValueBox, ULongValueBox [S] Volatile
\CustomEditors\Elements\FloatValueElement.cs                      [P] Wrapper {D} FloatValueBox [S] Volatile
\CustomEditors\Elements\DoubleValueElement.cs                     [P] Wrapper {D} DoubleValueBox [S] Volatile
\CustomEditors\Elements\SliderElement.cs                          [P] Wrapper {D} SliderControl [S] Volatile
\CustomEditors\Elements\ImageElement.cs                           [P] Wrapper {D} Image [S] Volatile
\CustomEditors\Elements\IFloatValueEditor.cs                      [P] Interface [S] N/A
\CustomEditors\Elements\IIntegerValueEditor.cs                    [P] Interface [S] N/A
\Surface\VisjectSurface.cs                                        [P] Master Controller {D} SurfaceRootControl, IVisjectSurfaceOwner (F) Update -> MarkAsEdited [S] Volatile Instance
\Surface                                                          [P] Visual Scripting Engine {D} SurfaceNode, VisjectSurfaceContext, NodeArchetype (F) Load -> OnContextChanged -> Save [S] Persistent Graph
\Surface\VisjectSurfaceContext.cs                                 [P] Graph Scope {D} SurfaceRootControl, SurfaceNode (F) SpawnNode -> MarkAsModified [S] Persistent State
\Surface\SurfaceNode.cs                                           [P] Graph Node Model {D} NodeArchetype, ISurfaceNodeElement (F) Ctor -> AddElement -> ResizeAuto [S] Volatile State
\Surface\NodeArchetype.cs                                         [P] Blueprint Factory {D} ScriptType, SurfaceNode (F) Create (Delegate) [S] Static Registry
\Surface\GroupArchetype.cs                                        [P] Registry DTO {D} NodeArchetype [S] Static Data
\Surface\NodeFactory.cs                                           [P] Abstract Factory {D} GroupArchetype, SurfaceNode (F) CreateNode (Registry Scan) [S] Static
\Surface\SurfaceRootControl.cs                                    [P] Canvas Layout {D} SurfaceComment (F) DrawComments -> DrawChildren [S] Volatile UI
\Surface\SurfaceControl.cs                                        [P] Base UI Component {D} VisjectSurfaceContext (F) CanSelect -> OnLoaded [S] Volatile UI
\Surface\VisjectSurface.Drawing.cs                                [P] View Renderer {D} Render2D (F) DrawBackground -> DrawConnections -> DrawSelection [S] Frame-bound
\Surface\VisjectSurface.Input.cs                                  [P] Interaction Handler {D} InputActionsContainer (F) OnMouseDown -> OnMouseWheel [S] Volatile interaction
\Surface\VisjectSurface.Connecting.cs                             [P] Edge Logic {D} IConnectionInstigator (F) ConnectingStart -> ConnectingEnd [S] Volatile interaction
\Surface\VisjectSurface.ContextMenu.cs                            [P] Picker logic {D} VisjectCM, NodesCache (F) Get -> OnShowPrimaryMenu [S] Volatile UI
\Surface\VisjectSurface.Parameters.cs                             [P] Scoped Mediator {D} SurfaceParameter (F) OnParamCreated -> IsParamUsed [S] Volatile
\Surface\VisjectSurface.Context.cs                                [P] Hierarchy Manager {D} VisjectSurfaceContext (F) OpenContext -> CloseContext [S] Volatile Stack
\Surface\VisjectSurface.CopyPaste.cs                              [P] Serializer {D} Clipboard, DataModel (F) Copy -> Paste (id Remapping) [S] Volatile Data
\Surface\VisjectSurface.Serialization.cs                          [P] I/O Hub {D} VisjectSurfaceContext (F) Load -> Save [S] Static
\Surface\VisjectSurface.Formatting.cs                             [P] Layout Solver {D} Sugiyama Algorithm (F) FormatGraph -> AlignNodes [S] Volatile
\Surface\VisjectSurface.DragDrop.cs                               [P] Input Handler {D} DragHandlers, DragAssets (F) OnDragDrop -> HandleDragDropAssets [S] Volatile interaction
\Surface\VisjectSurfaceContext.Serialization.cs                   [P] Binary Engine {D} BinaryReader/Writer (F) SaveGraph -> LoadGraph [S] Persistent I/O
\Surface\SurfaceParameter.cs                                      [P] Variable Model {D} ScriptType, SurfaceMeta [S] Persistent Data
\Surface\SurfaceMeta.cs                                           [P] Metadata Hub {D} JsonSerializer (F) Load -> Save -> SetAttributes [S] Persistent Meta
\Surface\SurfaceStyle.cs                                          [P] Visual Theme {D} Style (F) GetConnectionColor -> DrawStraightConnection [S] Static
\Surface\SurfaceUtils.cs                                          [P] Static Utility {D} CustomEditors, GraphParameter (F) DisplayGraphParameters [S] Static
\Surface\Constants.cs                                             [P] UI Registry {D} None [S] Static Constants
\Surface\VisualScriptSurface.cs                                   [P] Specialized Surface {D} VisualScript, Breakpoints (F) IterateNodesCache [S] Volatile Graph
\Surface\MaterialSurface.cs                                       [P] Asset Surface {D} MaterialBase, Texture (F) HandleDragDropAssets [S] Volatile Graph
\Surface\MaterialFunctionSurface.cs                               [P] Specialized Surface {D} MaterialSurface, IFunctionSurface (F) CanUseNodeType [S] Volatile UI
\Surface\AnimGraphSurface.cs                                      [P] Asset Surface {D} AnimGraphTraceEvent, VisjectCM (F) OnScriptsReloadBegin -> OnContextChanged [S] Volatile Graph
\Surface\AnimationGraphFunctionSurface.cs                         [P] Specialized Surface {D} AnimGraphSurface, IFunctionSurface (F) CanUseNodeType [S] Volatile UI
\Surface\ParticleEmitterSurface.cs                                [P] Asset Surface {D} ParticleModuleNode, ParticleEmitterNode (F) ArrangeModulesNodes [S] Volatile Graph
\Surface\ParticleEmitterFunctionSurface.cs                        [P] Specialized Surface {D} ParticleEmitterSurface, IFunctionSurface (F) CanUseNodeType [S] Volatile UI
\Surface\BehaviorTreeSurface.cs                                   [P] Asset Surface {D} BehaviorTree, BehaviorTreeNode (F) Load -> OnControlSpawned [S] Volatile Graph
\Surface\Archetypes\VisualScript.cs                               [P] Logic Registry {D} SurfaceNode, VisualScript [S] Static
\Surface\Archetypes\Material.cs                                   [P] Shader Registry {D} SurfaceNodeMaterial, CustomCodeNode [S] Static
\Surface\Archetypes\Animation.cs                                  [P] Registry {D} SurfaceNode, SkeletonMaskSample [S] Static
\Surface\Archetypes\Animation.StateMachine.cs                     [P] Scoped Context {D} StateMachine, StateMachineEntry, StateMachineState [S] Persistent
\Surface\Archetypes\Particles.cs                                  [P] Root Registry {D} ParticleEmitterNode, ParticleAttributeNode [S] Static
\Surface\Archetypes\ParticleModules.cs                            [P] Module Registry {D} ParticleModuleNode, SortModuleNode [S] Static
\Surface\Archetypes\BehaviorTree.cs                               [P] Node Registry {D} BehaviorTreeNode, Decorator [S] Static
\Surface\Archetypes\Function.cs                                   [P] Method Registry {D} FunctionNode, InvokeMethodNode, ReturnNode [S] Static
\Surface\Archetypes\Parameters.cs                                 [P] Property Registry {D} SurfaceNodeParamsGet, SurfaceNodeParamsSet [S] Static
\Surface\Archetypes\Math.cs                                       [P] Operation Registry [S] Static
\Surface\Archetypes\Comparisons.cs                                [P] Operation Registry {D} SwitchOnEnumNode [S] Static
\Surface\Archetypes\Boolean.cs                                    [P] Operation Registry [S] Static
\Surface\Archetypes\Bitwise.cs                                    [P] Operation Registry [S] Static
\Surface\Archetypes\Flow.cs                                       [P] Control Registry {D} SequenceNode, BranchOnEnumNode [S] Static
\Surface\Archetypes\Constants.cs                                  [P] Constant Registry {D} ConvertToParameterNode, EnumNode, ArrayNode [S] Static
\Surface\Archetypes\Collections.cs                                [P] Operation Registry {D} ScriptType (F) GetArrayItemType [S] Static
\Surface\Archetypes\Packing.cs                                    [P] Struct Registry {D} AppendNode, StructureNode [S] Static
\Surface\Archetypes\Layers.cs                                     [P] Material Registry [S] Static
\Surface\Archetypes\Textures.cs                                   [P] Asset Registry {D} TextureSamplerNode, TriplanarSampleTextureNode [S] Static
\Surface\Archetypes\Tools.cs                                      [P] Utility Registry {D} ColorGradientNode, CurveNode, ThisNode [S] Static
\Surface\Archetypes\Custom.cs                                     [P] Bridge [S] Static
\Surface\Archetypes\Animation.MultiBlend.cs                       [P] Widget {D} BlendPointsEditor, MultiBlend1D, MultiBlend2D [S] Volatile interaction
\Surface\Archetypes\Animation.TransitionEditor.cs                 [P] Popup {D} ContextMenuBase, CustomEditorPresenter [S] Volatile UI
\Surface\ContextMenu\VisjectCM.cs                                 [P] Search Controller {D} VisjectCMGroup, VisjectCMItem (F) Show -> UpdateFilters [S] Volatile UI
\Surface\ContextMenu\VisjectCMGroup.cs                            [P] Composite UI {D} VisjectCMItem (F) ResetView -> UpdateFilter [S] Volatile UI
\Surface\ContextMenu\VisjectCMItem.cs                             [P] Leaf UI {D} NodeArchetype (F) UpdateScore -> CanConnectTo [S] Volatile UI
